CD4533FFC0E1,D2B6503554D7,D7EE034361F8,DD697EA75B68,DF231643E227,E43355CA8B96,E6D9D20DD197,E8FD0B453DC4,F1307ECB3B90,F1EDAF28E08A,F69A86823B96,F8EE8B0847A4,FDAE5980F28C,EC72840D9AD3,E96AF2C858BA,E13B805C6CB0,FB2EE01C18CE
-83.9285714285714,-89.3333333333333,-65.7826086956522,-85.1666666666667,-91.2352941176471,-75.5,NaN,-86.375,-68.7096774193548,-83.9117647058823,-77.7407407407407,-80.1538461538462,-83.5625,-79.1578947368421,NaN,-92.5555555555556,NaN
-85.25,-88.2,-65.5,-87.25,-90.6842105263158,-75.76,NaN,-89.5,-68.6923076923077,-84.3809523809524,-76.6470588235294,-80.1739130434783,-83.7222222222222,-80.4285714285714,NaN,-92.6,NaN
-84.75,-86.5555555555556,-65.625,-87.0909090909091,-90,-75.6,-96,-86.5714285714286,-68.9285714285714,-86.7,-79.04,-81.0454545454545,-85.2857142857143,-75.5714285714286,NaN,-94,NaN
-84.2307692307692,-87.5833333333333,-65.7352941176471,-87.2272727272727,-90.1,-76.7777777777778,NaN,-86,-68.9032258064516,-85.1428571428571,-78.5454545454545,-79.6315789473684,-82.375,-76.8,NaN,-93.4444444444444,NaN
-84.75,-85.6666666666667,-66.0344827586207,-84.4666666666667,-91.1538461538462,NaN,-98,-87,-68.448275862069,-83.75,-80.8666666666667,-80.9090909090909,-85.4210526315789,-80.2307692307692,NaN,-93.75,NaN
-84.9444444444444,-85.1538461538462,-66,-85.6666666666667,-90.5833333333333,-76.9333333333333,NaN,-89.2857142857143,-68.7352941176471,-84.28125,-79.5714285714286,-81.4285714285714,-83.1764705882353,-77.1379310344828,NaN,-95,NaN
-85.0606060606061,-87.1111111111111,-66.4418604651163,-87.1,-91.5625,-77.8846153846154,-96,-87.5454545454545,-68.8709677419355,-84.0526315789474,-78.92,-80.7666666666667,-83.0625,-78.6060606060606,NaN,NaN,NaN
-85.56,-85.3333333333333,-65.7931034482759,-85.7,-90.3478260869565,-75,-95.5,-89.7142857142857,-68.8,-84.8461538461538,-77.8125,-80.76,-84.1111111111111,-78.6,NaN,NaN,NaN
-84.5588235294118,-87.7,-65.8367346938775,-86.5,-90.8518518518518,-77.3571428571429,NaN,-84.8,-68.5789473684211,-85.1351351351351,-76.6785714285714,-80.7272727272727,-83,-78.3030303030303,NaN,NaN,NaN
-84.5,-86.875,-65.6153846153846,-83.8333333333333,-90.7692307692308,-75,NaN,-87.6,-68.5789473684211,-84.2380952380952,-78.0714285714286,-83.0666666666667,-82.75,-82.5882352941177,NaN,NaN,NaN
